School Name,School Type,County,City,Reported,Herd Immunity,Enrollment,PBE #,PBE %,Percentage Point Change 2007-14,DTP %,Polio %,MMR %,HEPB %,VAR %
MISSION APOSTOLIC CHRISTIAN ADADEMY,PRIVATE,KERN,BAKERSFIELD,N,Not Known, ,,,No Data,,,,,
NEW LIFE CHRISTIAN,PRIVATE,KERN,BAKERSFIELD,Y,Yes,15,0,0,No Opt-Outs,100,100,100,100,100
OLIVE KNOLLS CHRISTIAN,PRIVATE,KERN,BAKERSFIELD,Y,Yes,30,2,7,3,93,90,93,93,93
OUR LADY OF GUADALUPE,PRIVATE,KERN,BAKERSFIELD,Y,Yes,17,0,0,No Opt-Outs,94,94,94,94,94
OUR LADY OF PERPETUAL HELP,PRIVATE,KERN,BAKERSFIELD,Y,Yes,32,0,0,No Opt-Outs,100,100,100,100,100
ST. FRANCIS,PRIVATE,KERN,BAKERSFIELD,Y,Yes,46,4,9,Up from None,91,91,91,91,91
ST. JOHN'S LUTHERAN,PRIVATE,KERN,BAKERSFIELD,Y,Yes,55,3,5,Up from None,95,95,95,95,95
STOCKDALE CHRISTIAN ELEMENTARY,PRIVATE,KERN,BAKERSFIELD,Y,Yes,79,8,10,5,90,90,90,90,90
VALLEY SCHOOLS,PRIVATE,KERN,BAKERSFIELD,Y,No,14,2,14,Up from None,86,86,86,86,86
HERITAGE MONTESSORI SCHOOL,PRIVATE,KERN,RIDGECREST,Y,No,13,2,15,Up from None,85,85,85,85,85
IMMANUEL CHRISTIAN,PRIVATE,KERN,RIDGECREST,Y,No,13,2,15,No Data,85,85,85,85,85
ST. ANN,PRIVATE,KERN,RIDGECREST,Y,No,15,0,0,No Opt-Outs,100,93,87,100,100
CARDEN SCHOOL OF TEHACHAPI,PRIVATE,KERN,TEHACHAPI,Y,Yes,19,0,0,No Opt-Outs,100,100,100,100,100
NORTH KERN CHRISTIAN,PRIVATE,KERN,WASCO,Y,Yes,11,0,0,No Data,100,100,100,100,100
ARMONA ELEMENTARY,PUBLIC,KINGS,ARMONA,Y,Yes,145,1,1,Up from None,98,99,99,98,99
CALIFORNIA VIRTUAL ACADEMY KINGS,PUBLIC,KINGS,SIMI VALLEY,Y,No,15,4,27,2,73,67,73,73,73
CENTRAL ELEMENTARY,PUBLIC,KINGS,LEMOORE,Y,Yes,25,0,0,No Opt-Outs,100,100,100,100,100
AKERS ELEMENTARY,PUBLIC,KINGS,N.A.S. LEMOORE,Y,Yes,65,1,2,Up from None,97,98,98,98,98
R. J. NEUTRA,PUBLIC,KINGS,N.A.S. LEMOORE,Y,Yes,133,2,2,1,96,96,98,96,98
STRATFORD ELEMENTARY,PUBLIC,KINGS,STRATFORD,Y,Yes,43,1,2,Up from None,98,98,98,98,98
BRET HARTE ELEMENTARY,PUBLIC,KINGS,CORCORAN,Y,Yes,285,0,0,No Opt-Outs,99,99,98,100,100
GEORGE WASHINGTON ELEMENTARY,PUBLIC,KINGS,HANFORD,Y,Yes,90,1,1,Up from None,94,97,99,98,99
HAMILTON ELEMENTARY,PUBLIC,KINGS,HANFORD,Y,Yes,100,2,2,Up from None,95,98,98,97,98
JEFFERSON ELEMENTARY,PUBLIC,KINGS,HANFORD,Y,Yes,48,0,0,No Data,98,98,98,100,100
JOSEPH M. SIMAS,PUBLIC,KINGS,HANFORD,Y,Yes,67,0,0,No Opt-Outs,99,99,96,99,99
LEE RICHMOND ELEMENTARY,PUBLIC,KINGS,HANFORD,Y,Yes,60,0,0,No Opt-Outs,100,100,100,100,100
LINCOLN ELEMENTARY,PUBLIC,KINGS,HANFORD,Y,Yes,83,0,0,No Opt-Outs,98,100,100,99,100
MARTIN LUTHER KING JR. ELEMENTARY,PUBLIC,KINGS,HANFORD,Y,Yes,101,0,0,No Opt-Outs,98,99,99,98,99
MONROE ELEMENTARY,PUBLIC,KINGS,HANFORD,Y,Yes,117,0,0,No Opt-Outs,96,96,96,99,100
ROOSEVELT ELEMENTARY,PUBLIC,KINGS,HANFORD,Y,Yes,96,0,0,No Opt-Outs,98,100,99,99,100
ISLAND ELEMENTARY,PUBLIC,KINGS,LEMOORE,Y,Yes,44,0,0,No Opt-Outs,100,100,100,100,100
KINGS COUNTY SPECIAL EDUCATION,PUBLIC,KINGS,HANFORD,Y,Yes,18,0,0,No Opt-Outs,100,100,100,100,100
KINGS RIVER-HARDWICK ELEMENTARY,PUBLIC,KINGS,HANFORD,Y,Yes,108,1,1,0,96,99,98,99,99
KIT CARSON ELEMENTARY,PUBLIC,KINGS,HANFORD,Y,Yes,37,0,0,No Opt-Outs,100,100,100,100,100
LAKESIDE ELEMENTARY,PUBLIC,KINGS,HANFORD,Y,Yes,45,0,0,No Data,98,98,98,98,98
CINNAMON ELEMENTARY,PUBLIC,KINGS,LEMOORE,Y,Yes,97,0,0,No Opt-Outs,97,99,99,99,100
LEMOORE ELEMENTARY,PUBLIC,KINGS,LEMOORE,Y,Yes,108,1,1,Up from None,95,97,99,98,99
MEADOW LANE ELEMENTARY,PUBLIC,KINGS,LEMOORE,Y,Yes,109,4,4,Up from None,93,96,95,96,96
P. W. ENGVALL ELEMENTARY,PUBLIC,KINGS,LEMOORE,Y,Yes,122,1,1,Up from None,97,98,98,98,99
FRONTIER ELEMENTARY,PUBLIC,KINGS,HANFORD,Y,Yes,73,2,3,No Data,97,97,97,97,97
PIONEER ELEMENTARY,PUBLIC,KINGS,HANFORD,Y,Yes,103,0,0,Down to None,99,99,97,99,100
AVENAL ELEMENTARY,PUBLIC,KINGS,AVENAL,Y,Yes,161,0,0,No Opt-Outs,98,99,100,99,100
TAMARACK ELEMENTARY,PUBLIC,KINGS,AVENAL,Y,Yes,90,0,0,No Opt-Outs,100,100,100,100,100
KETTLEMAN CITY ELEMENTARY,PUBLIC,KINGS,KETTLEMAN CITY,Y,Yes,34,0,0,No Opt-Outs,100,100,100,100,100
HANFORD CHRISTIAN SCHOOL,PRIVATE,KINGS,HANFORD,Y,Yes,21,0,0,No Opt-Outs,95,95,100,100,100
ST. ROSE MCCARTHY CATHOLIC,PRIVATE,KINGS,HANFORD,Y,Yes,17,0,0,No Opt-Outs,100,100,100,100,100
KINGS CHRISTIAN,PRIVATE,KINGS,LEMOORE,Y,Yes,21,1,5,0,95,95,95,95,95
MARY IMMACULATE QUEEN,PRIVATE,KINGS,LEMOORE,Y,Yes,24,0,0,No Opt-Outs,100,100,100,100,100
KELSEYVILLE ELEMENTARY,PUBLIC,LAKE,KELSEYVILLE,Y,Yes,83,0,0,Down to None,98,99,98,99,98
RIVIERA ELEMENTARY,PUBLIC,LAKE,KELSEYVILLE,Y,Yes,53,2,4,Up from None,94,94,94,96,96
BURNS VALLEY,PUBLIC,LAKE,CLEARLAKE,Y,Yes,84,0,0,No Opt-Outs,98,99,99,99,100
POMO,PUBLIC,LAKE,CLEARLAKE,Y,Yes,110,0,0,Down to None,98,98,97,98,100
EAST LAKE,PUBLIC,LAKE,CLEARLAKE OAKS,Y,No,30,1,3,-7,87,93,93,97,97
LOWER LAKE ELEMENTARY,PUBLIC,LAKE,LOWER LAKE,Y,Yes,101,1,1,-1,98,99,97,99,99
CLEARLAKE CREATIVITY,PUBLIC,LAKE,CLEARLAKE,N,Not Known, ,,,No Data,,,,,
RENAISSANCE COURT,PUBLIC,LAKE,LAKEPORT,N,Not Known, ,,,No Data,,,,,
LAKEPORT ELEMENTARY,PUBLIC,LAKE,LAKEPORT,Y,Yes,124,8,6,4,93,93,93,92,93
LUCERNE ELEMENTARY,PUBLIC,LAKE,LUCERNE,Y,No,38,6,16,Up from None,79,79,79,84,84
COBB MOUNTAIN ELEMENTARY,PUBLIC,LAKE,MIDDLETOWN,Y,No,24,5,21,16,79,79,75,79,79
COYOTE VALLEY ELEMENTARY,PUBLIC,LAKE,MIDDLETOWN,Y,Yes,82,5,6,5,89,90,90,90,94
LAKE COUNTY INTERNATIONAL CHARTER,PUBLIC,LAKE,MIDDLETOWN,Y,No,11,6,55,28,45,45,27,45,27
MINNIE CANNON ELEMENTARY,PUBLIC,LAKE,MIDDLETOWN,Y,No,20,2,10,5,85,85,85,85,85
UPPER LAKE ELEMENTARY,PUBLIC,LAKE,UPPER LAKE,Y,No,63,3,5,3,87,90,90,92,92
KONOCTI CHRISTIAN ACADEMY,PRIVATE,LAKE,LAKEPORT,Y,No,12,0,0,No Data,83,83,83,83,83
BIG VALLEY ELEMENTARY,PUBLIC,LASSEN,BIEBER,Y,No,15,3,20,No Data,67,67,67,73,67
FORT SAGE COMMUNITY DAY,PUBLIC,LASSEN,HERLONG,N,Not Known, ,,,No Data,,,,,
MT. LASSEN CHARTER,PUBLIC,LASSEN,HERLONG,Y,No,11,4,36,No Data,64,64,64,64,64
SIERRA PRIMARY,PUBLIC,LASSEN,HERLONG,Y,No,11,0,0,No Opt-Outs,55,64,64,73,82
JANESVILLE ELEMENTARY,PUBLIC,LASSEN,JANESVILLE,Y,Yes,30,0,0,Down to None,97,97,100,100,100
JOHNSTONVILLE ELEMENTARY,PUBLIC,LASSEN,SUSANVILLE,Y,No,22,1,5,Up from None,91,91,82,91,91
LONG VALLEY CHARTER,PUBLIC,LASSEN,DOYLE,Y,Yes,34,3,9,Up from None,91,91,91,91,91
NEW DAY ACADEMY,PUBLIC,LASSEN,TERMO,Y,No,24,13,54,No Data,46,46,46,46,46
RICHMOND ELEMENTARY,PUBLIC,LASSEN,SUSANVILLE,Y,No,17,0,0,Down to None,88,88,88,82,76
SHAFFER ELEMENTARY,PUBLIC,LASSEN,LITCHFIELD,Y,No,26,2,8,Up from None,58,54,62,81,88
MCKINLEY ELEMENTARY,PUBLIC,LASSEN,SUSANVILLE,Y,Yes,144,0,0,No Opt-Outs,100,100,100,100,100
FLETCHER WALKER ELEMENTARY,PUBLIC,LASSEN,WESTWOOD,Y,No,16,1,6,Up from None,75,75,75,88,88
BURBANK -LUTHER- ELEMENTARY,PUBLIC,LOS ANGELES,ARTESIA,Y,Yes,96,1,1,Up from None,92,94,93,94,97
ELLIOTT -WILLIAM F- ELEMENTARY,PUBLIC,LOS ANGELES,ARTESIA,Y,No,90,0,0,No Opt-Outs,92,96,89,99,97
KENNEDY -JOHN F.- ELEMENTARY,PUBLIC,LOS ANGELES,ARTESIA,Y,Yes,78,4,5,3,91,94,92,92,94
NIEMES -JOHN H.- ELEMENTARY,PUBLIC,LOS ANGELES,ARTESIA,Y,Yes,125,1,1,Up from None,98,99,98,99,99
BRAGG ELEMENTARY,PUBLIC,LOS ANGELES,CERRITOS,Y,No,99,3,3,Up from None,90,90,91,95,96
CARVER -CHARLES J.- ELEMENTARY,PUBLIC,LOS ANGELES,CERRITOS,Y,Yes,97,0,0,No Opt-Outs,91,93,92,98,97
CERRITOS ELEMENTARY,PUBLIC,LOS ANGELES,CERRITOS,Y,No,71,2,3,1,89,90,90,90,92
GONSALVES -JOE A.- ELEMENTARY,PUBLIC,LOS ANGELES,CERRITOS,Y,Yes,97,1,1,Up from None,96,96,95,98,97
JUAREZ -BENITO- ELEMENTARY,PUBLIC,LOS ANGELES,CERRITOS,Y,Yes,47,0,0,No Opt-Outs,98,98,96,98,100
LEAL -FRANK C.- ELEMENTARY,PUBLIC,LOS ANGELES,CERRITOS,Y,Yes,83,1,1,0,94,96,95,96,95
NIXON -PATRICIA- ELEMENTARY,PUBLIC,LOS ANGELES,CERRITOS,Y,Yes,99,0,0,Down to None,99,99,99,97,99
STOWERS-CECIL B.- ELEMENTARY,PUBLIC,LOS ANGELES,CERRITOS,Y,Yes,69,1,1,Up from None,97,97,96,99,99
WITTMANN -HELEN- ELEMENTARY,PUBLIC,LOS ANGELES,CERRITOS,Y,Yes,95,0,0,No Opt-Outs,96,96,94,97,98
FURGESON -VENN W.- ELEMENTARY,PUBLIC,LOS ANGELES,HAWAIIAN GARDENS,Y,Yes,88,0,0,No Opt-Outs,95,95,93,95,98
HAWAIIAN ELEMENTARY,PUBLIC,LOS ANGELES,HAWAIIAN GARDENS,Y,Yes,78,0,0,No Opt-Outs,99,99,97,100,100
ALOHA ELEMENTARY,PUBLIC,LOS ANGELES,LAKEWOOD,Y,Yes,52,0,0,No Opt-Outs,92,94,92,100,100
MELBOURNE -ELLA P.- ELEMENTARY,PUBLIC,LOS ANGELES,LAKEWOOD,Y,Yes,105,0,0,No Opt-Outs,98,99,97,100,100
PALMS ELEMENTARY,PUBLIC,LOS ANGELES,LAKEWOOD,Y,Yes,95,0,0,No Opt-Outs,100,100,99,100,100
WILLOW ELEMENTARY,PUBLIC,LOS ANGELES,LAKEWOOD,Y,Yes,75,0,0,No Opt-Outs,100,100,100,99,100
HOPE CHARTER ACADEMY,PUBLIC,LOS ANGELES,ACTON,Y,No,11,4,36,No Data,64,64,64,64,64
MEADOWLARK ELEMENTARY,PUBLIC,LOS ANGELES,ACTON,Y,Yes,62,0,0,Down to None,90,90,90,92,94
ACADEMY OF ARTS AND SCIENCES: LOS ANGELES -K-8-,PUBLIC,LOS ANGELES,LOS ANGELES,Y,No,13,0,0,No Data,85,69,69,46,77
VALLEY PREP K-5,PUBLIC,LOS ANGELES,PACOIMA,Y,No,27,0,0,No Data,0,0,0,0,0
"ALBERT EINSTEIN ACADEMY ELEMENTARY, SANTA CLARITA CAMPUS",PUBLIC,LOS ANGELES,VALENCIA,Y,Yes,65,3,5,No Data,95,95,95,95,95
EMERY PARK ELEMENTARY,PUBLIC,LOS ANGELES,ALHAMBRA,Y,Yes,40,0,0,No Opt-Outs,95,95,100,100,100
FREMONT ELEMENTARY,PUBLIC,LOS ANGELES,ALHAMBRA,Y,Yes,51,0,0,No Opt-Outs,100,100,100,100,100
GARFIELD ELEMENTARY,PUBLIC,LOS ANGELES,ALHAMBRA,Y,Yes,55,1,2,Up from None,91,91,91,98,98
GRANADA ELEMENTARY,PUBLIC,LOS ANGELES,ALHAMBRA,Y,Yes,47,1,2,Up from None,98,98,91,98,98
MARGUERITA ELEMENTARY,PUBLIC,LOS ANGELES,ALHAMBRA,Y,Yes,46,0,0,Down to None,100,100,98,100,100
MARTHA BALDWIN ELEMENTARY,PUBLIC,LOS ANGELES,ALHAMBRA,Y,Yes,124,1,1,Up from None,98,98,98,99,99
PARK ELEMENTARY,PUBLIC,LOS ANGELES,ALHAMBRA,Y,Yes,79,2,3,Up from None,95,95,95,95,95
RAMONA ELEMENTARY,PUBLIC,LOS ANGELES,ALHAMBRA,Y,Yes,79,0,0,No Opt-Outs,100,100,99,100,100
WILLIAM NORTHRUP ELEMENTARY,PUBLIC,LOS ANGELES,ALHAMBRA,Y,Yes,58,1,2,Up from None,98,98,98,98,98
BRIGHTWOOD ELEMENTARY,PUBLIC,LOS ANGELES,MONTEREY PARK,Y,Yes,86,0,0,Down to None,100,100,100,100,100
MONTEREY HIGHLANDS ELEMENTARY,PUBLIC,LOS ANGELES,MONTEREY PARK,Y,Yes,86,2,2,Up from None,98,98,98,98,98
REPETTO ELEMENTARY,PUBLIC,LOS ANGELES,MONTEREY PARK,Y,Yes,66,0,0,No Opt-Outs,100,100,100,100,100
YNEZ ELEMENTARY,PUBLIC,LOS ANGELES,MONTEREY PARK,Y,Yes,63,0,0,No Opt-Outs,100,98,98,100,100
BALDWIN STOCKER ELEMENTARY,PUBLIC,LOS ANGELES,ARCADIA,Y,Yes,90,1,1,Up from None,99,99,99,99,99
CAMINO GROVE ELEMENTARY,PUBLIC,LOS ANGELES,ARCADIA,Y,Yes,85,0,0,Down to None,100,100,100,100,100
HIGHLAND OAKS ELEMENTARY,PUBLIC,LOS ANGELES,ARCADIA,Y,No,93,6,6,Up from None,88,88,88,90,91
HOLLY AVENUE ELEMENTARY,PUBLIC,LOS ANGELES,ARCADIA,Y,Yes,93,1,1,Up from None,98,99,99,99,99
HUGO REID ELEMENTARY,PUBLIC,LOS ANGELES,ARCADIA,Y,Yes,93,3,3,Up from None,97,97,97,97,97
LONGLEY WAY ELEMENTARY,PUBLIC,LOS ANGELES,ARCADIA,Y,No,71,0,0,Down to None,85,90,85,100,100
CLIFFORD D. MURRAY ELEMENTARY,PUBLIC,LOS ANGELES,AZUSA,Y,Yes,96,0,0,No Opt-Outs,96,96,95,96,96
GLADSTONE STREET ELEMENTARY,PUBLIC,LOS ANGELES,AZUSA,Y,Yes,69,1,1,Up from None,96,96,96,97,99
HENRY DALTON ELEMENTARY,PUBLIC,LOS ANGELES,AZUSA,Y,Yes,41,0,0,No Opt-Outs,98,95,95,100,100
MAGNOLIA ELEMENTARY,PUBLIC,LOS ANGELES,AZUSA,Y,Yes,54,0,0,No Opt-Outs,98,98,100,100,100
MOUNTAIN VIEW ELEMENTARY,PUBLIC,LOS ANGELES,AZUSA,Y,Yes,82,0,0,No Opt-Outs,95,96,95,99,99
PARAMOUNT ELEMENTARY,PUBLIC,LOS ANGELES,AZUSA,Y,Yes,57,0,0,No Opt-Outs,100,100,100,100,98
VALLEYDALE ELEMENTARY,PUBLIC,LOS ANGELES,AZUSA,Y,Yes,55,0,0,No Opt-Outs,95,98,98,98,98
VICTOR F. HODGE ELEMENTARY,PUBLIC,LOS ANGELES,AZUSA,Y,Yes,121,0,0,No Opt-Outs,99,100,100,99,100
W. R. POWELL ELEMENTARY,PUBLIC,LOS ANGELES,AZUSA,Y,No,36,0,0,No Opt-Outs,83,86,83,97,92
ALICE M. ELLINGTON ELEMENTARY,PUBLIC,LOS ANGELES,COVINA,Y,Yes,47,0,0,No Opt-Outs,96,96,98,98,100
CENTRAL ELEMENTARY,PUBLIC,LOS ANGELES,BALDWIN PARK,Y,Yes,88,0,0,No Opt-Outs,100,100,99,100,100
CHARLES BURSCH ELEMENTARY,PUBLIC,LOS ANGELES,BALDWIN PARK,Y,Yes,88,2,2,Up from None,97,97,98,98,98
DE ANZA ELEMENTARY,PUBLIC,LOS ANGELES,BALDWIN PARK,Y,Yes,95,2,2,Up from None,98,98,98,98,98
ELWIN ELEMENTARY,PUBLIC,LOS ANGELES,BALDWIN PARK,Y,Yes,53,0,0,No Opt-Outs,100,100,100,100,100
ERNEST R. GEDDES ELEMENTARY,PUBLIC,LOS ANGELES,BALDWIN PARK,Y,Yes,143,2,1,Up from None,97,99,97,99,99
FOSTER ELEMENTARY,PUBLIC,LOS ANGELES,BALDWIN PARK,Y,Yes,108,3,3,Up from None,97,97,97,97,97
KENMORE ELEMENTARY,PUBLIC,LOS ANGELES,BALDWIN PARK,Y,Yes,89,1,1,Up from None,99,99,99,99,99
MARGARET HEATH ELEMENTARY,PUBLIC,LOS ANGELES,BALDWIN PARK,Y,Yes,93,1,1,Up from None,96,97,96,98,98
PLEASANT VIEW ELEMENTARY,PUBLIC,LOS ANGELES,BALDWIN PARK,Y,Yes,81,1,1,Up from None,96,98,99,99,98
TRACY ELEMENTARY,PUBLIC,LOS ANGELES,BALDWIN PARK,Y,Yes,118,0,0,No Opt-Outs,97,98,100,100,100
VINELAND ELEMENTARY,PUBLIC,LOS ANGELES,BALDWIN PARK,Y,Yes,133,0,0,No Opt-Outs,100,100,100,100,100
WALNUT ELEMENTARY,PUBLIC,LOS ANGELES,BALDWIN PARK,Y,Yes,104,0,0,No Opt-Outs,100,100,100,100,100
OPPORTUNITIES FOR LEARNING - BALDWIN PARK,PUBLIC,LOS ANGELES,PASADENA,N,Not Known, ,,,No Data,,,,,
DON JULIAN ELEMENTARY,PUBLIC,LOS ANGELES,LA PUENTE,Y,Yes,78,0,0,No Opt-Outs,97,99,97,97,99
EDGEWOOD ACADEMY,PUBLIC,LOS ANGELES,LA PUENTE,Y,Yes,78,1,1,Up from None,99,99,99,99,99
J. E. VAN WIG ELEMENTARY,PUBLIC,LOS ANGELES,LA PUENTE,Y,Yes,60,0,0,No Opt-Outs,97,97,97,98,98
SUNKIST ELEMENTARY,PUBLIC,LOS ANGELES,LA PUENTE,Y,Yes,65,0,0,No Opt-Outs,100,100,100,100,100
ALBERT BAXTER ELEMENTARY,PUBLIC,LOS ANGELES,BELLFLOWER,Y,Yes,94,0,0,No Opt-Outs,97,96,96,98,97
BELLFLOWER ALTERNATIVE EDUCATION CENTER,PUBLIC,LOS ANGELES,BELLFLOWER,N,Not Known, ,,,No Data,,,,,
ERNIE PYLE ELEMENTARY,PUBLIC,LOS ANGELES,BELLFLOWER,Y,Yes,89,1,1,Up from None,99,99,99,99,99
FRANK E. WOODRUFF ELEMENTARY,PUBLIC,LOS ANGELES,BELLFLOWER,Y,Yes,80,0,0,No Opt-Outs,100,100,99,99,100
LAS FLORES HOME EDUCATION INDEPENDENT STUDY ACADEMY,PUBLIC,LOS ANGELES,BELLFLOWER,Y,Yes,24,0,0,No Data,96,100,100,100,100
RAMONA ELEMENTARY,PUBLIC,LOS ANGELES,BELLFLOWER,Y,Yes,71,2,3,Up from None,97,97,96,96,97
THOMAS JEFFERSON ELEMENTARY,PUBLIC,LOS ANGELES,BELLFLOWER,Y,Yes,68,1,1,Up from None,96,97,96,96,96
WASHINGTON ELEMENTARY,PUBLIC,LOS ANGELES,BELLFLOWER,Y,Yes,111,0,0,No Opt-Outs,96,97,96,99,100
CRAIG WILLIAMS ELEMENTARY,PUBLIC,LOS ANGELES,LAKEWOOD,Y,Yes,119,0,0,No Opt-Outs,93,97,94,99,99
ESTHER LINDSTROM ELEMENTARY,PUBLIC,LOS ANGELES,LAKEWOOD,Y,Yes,123,0,0,Down to None,94,94,95,96,97
INTENSIVE LEARNING CENTER,PUBLIC,LOS ANGELES,LAKEWOOD,Y,Yes,107,3,3,Up from None,95,94,93,95,96
STEPHEN FOSTER ELEMENTARY,PUBLIC,LOS ANGELES,LAKEWOOD,Y,Yes,113,1,1,Up from None,97,92,97,99,97
BEVERLY VISTA ELEMENTARY,PUBLIC,LOS ANGELES,BEVERLY HILLS,Y,No,60,0,0,Down to None,80,82,77,83,85
EL RODEO ELEMENTARY,PUBLIC,LOS ANGELES,BEVERLY HILLS,Y,Yes,60,3,5,0,95,95,95,95,95
HAWTHORNE ELEMENTARY,PUBLIC,LOS ANGELES,BEVERLY HILLS,Y,No,79,7,9,3,71,76,73,80,87
HORACE MANN ELEMENTARY,PUBLIC,LOS ANGELES,BEVERLY HILLS,Y,No,40,2,5,3,80,83,83,90,88
GRACE MILLER ELEMENTARY,PUBLIC,LOS ANGELES,LA VERNE,Y,Yes,58,0,0,Down to None,97,97,97,98,100
J. MARION ROYNON ELEMENTARY,PUBLIC,LOS ANGELES,LA VERNE,Y,Yes,117,4,3,2,96,97,97,96,97
LA VERNE HEIGHTS ELEMENTARY,PUBLIC,LOS ANGELES,LA VERNE,Y,Yes,75,2,3,Up from None,97,97,97,97,97
OAK MESA ELEMENTARY,PUBLIC,LOS ANGELES,LA VERNE,Y,Yes,91,0,0,Down to None,98,98,98,98,98
ALLEN AVENUE ELEMENTARY,PUBLIC,LOS ANGELES,SAN DIMAS,Y,Yes,112,3,3,Up from None,90,90,90,97,97
ARMA J. SHULL ELEMENTARY,PUBLIC,LOS ANGELES,SAN DIMAS,Y,Yes,96,2,2,1,96,96,95,98,98
FRED EKSTRAND ELEMENTARY,PUBLIC,LOS ANGELES,SAN DIMAS,Y,Yes,82,2,2,-4,95,95,95,95,95
GLADSTONE ELEMENTARY,PUBLIC,LOS ANGELES,SAN DIMAS,Y,Yes,71,0,0,Down to None,99,99,99,100,100
BRET HARTE ELEMENTARY,PUBLIC,LOS ANGELES,BURBANK,Y,Yes,81,1,1,0,99,99,99,99,99
GEORGE WASHINGTON ELEMENTARY,PUBLIC,LOS ANGELES,BURBANK,Y,Yes,80,1,1,0,93,95,95,95,99
HORACE MANN,PUBLIC,LOS ANGELES,BURBANK,N,Not Known, ,,,No Data,,,,,
JOAQUIN MILLER ELEMENTARY,PUBLIC,LOS ANGELES,BURBANK,Y,Yes,103,1,1,-5,97,97,94,98,98
OPTIONS FOR YOUTH-BURBANK CHARTER,PUBLIC,LOS ANGELES,BURBANK,N,Not Known, ,,,No Data,,,,,
PROVIDENCIA ELEMENTARY,PUBLIC,LOS ANGELES,BURBANK,Y,Yes,53,2,4,2,94,94,96,94,96
R. L. STEVENSON ELEMENTARY,PUBLIC,LOS ANGELES,BURBANK,Y,Yes,77,0,0,Down to None,95,99,96,100,99
RALPH EMERSON ELEMENTARY,PUBLIC,LOS ANGELES,BURBANK,Y,Yes,80,1,1,0,99,99,99,99,99
THEODORE ROOSEVELT ELEMENTARY,PUBLIC,LOS ANGELES,BURBANK,Y,Yes,104,2,2,-2,97,98,98,98,97
THOMAS EDISON ELEMENTARY,PUBLIC,LOS ANGELES,BURBANK,Y,Yes,80,0,0,Down to None,100,100,100,100,100
THOMAS JEFFERSON ELEMENTARY,PUBLIC,LOS ANGELES,BURBANK,Y,Yes,108,2,2,1,98,98,97,98,98
WALT DISNEY ELEMENTARY,PUBLIC,LOS ANGELES,BURBANK,Y,Yes,75,2,3,Up from None,91,92,91,92,93
WILLIAM MCKINLEY ELEMENTARY,PUBLIC,LOS ANGELES,BURBANK,Y,Yes,79,0,0,No Opt-Outs,99,99,99,99,100
CASTAIC ELEMENTARY,PUBLIC,LOS ANGELES,CASTAIC,Y,Yes,93,3,3,2,97,94,97,96,97
LIVE OAK ELEMENTARY,PUBLIC,LOS ANGELES,CASTAIC,Y,Yes,93,1,1,-2,99,99,99,99,99
NORTHLAKE HILLS ELEMENTARY,PUBLIC,LOS ANGELES,CASTAIC,Y,Yes,85,1,1,-1,99,99,99,99,99
BADILLO ELEMENTARY,PUBLIC,LOS ANGELES,COVINA,Y,Yes,77,1,1,Up from None,96,97,94,96,97
CEDARGROVE ELEMENTARY,PUBLIC,LOS ANGELES,COVINA,Y,Yes,117,2,2,Up from None,98,98,97,98,98
GLEN OAK ELEMENTARY,PUBLIC,LOS ANGELES,COVINA,Y,Yes,63,2,3,Up from None,95,95,94,94,95
WASHINGTON ELEMENTARY,PUBLIC,LOS ANGELES,GLENDORA,Y,Yes,100,2,2,Up from None,96,97,92,97,98
WILLOW ELEMENTARY,PUBLIC,LOS ANGELES,GLENDORA,Y,Yes,56,0,0,No Opt-Outs,100,100,93,100,100
CHAPARRAL ELEMENTARY,PUBLIC,LOS ANGELES,CLAREMONT,Y,Yes,78,1,1,Up from None,99,99,99,97,99
CONDIT ELEMENTARY,PUBLIC,LOS ANGELES,CLAREMONT,Y,Yes,80,4,5,Up from None,95,95,95,95,95
DANBURY SPECIAL EDUCATION,PUBLIC,LOS ANGELES,CLAREMONT,Y,No,13,1,8,Up from None,62,62,62,85,92
MOUNTAIN VIEW ELEMENTARY,PUBLIC,LOS ANGELES,CLAREMONT,Y,Yes,55,3,5,4,93,93,93,93,93
OAKMONT ELEMENTARY,PUBLIC,LOS ANGELES,CLAREMONT,Y,Yes,72,3,4,3,96,96,96,96,96
SUMNER ELEMENTARY,PUBLIC,LOS ANGELES,CLAREMONT,Y,No,65,8,12,11,88,88,88,86,88
SYCAMORE ELEMENTARY,PUBLIC,LOS ANGELES,CLAREMONT,Y,Yes,51,2,4,-1,94,96,96,96,96
VISTA DEL VALLE ELEMENTARY,PUBLIC,LOS ANGELES,CLAREMONT,Y,Yes,47,3,6,4,94,94,94,94,94
RALPH BUNCHE ELEMENTARY,PUBLIC,LOS ANGELES,CARSON,Y,No,51,0,0,No Opt-Outs,88,90,88,98,98
ANDERSON ELEMENTARY,PUBLIC,LOS ANGELES,COMPTON,Y,No,99,0,0,No Opt-Outs,91,93,93,98,95
BURSCH ELEMENTARY,PUBLIC,LOS ANGELES,COMPTON,Y,Yes,100,0,0,No Opt-Outs,95,95,95,95,95
"CLINTON, WILLIAM JEFFERSON",PUBLIC,LOS ANGELES,COMPTON,Y,Yes,175,0,0,No Opt-Outs,93,91,92,97,93
DICKISON ELEMENTARY,PUBLIC,LOS ANGELES,COMPTON,Y,Yes,123,0,0,No Opt-Outs,100,98,98,100,100
