School Name,School Type,County,City,Reported,Herd Immunity,Enrollment,PBE #,PBE %,Percentage Point Change 2007-14,DTP %,Polio %,MMR %,HEPB %,VAR %
MURRAY ELEMENTARY,PUBLIC,ALAMEDA,DUBLIN,Y,Yes,87,2,2,Up from None,95,95,95,95,98
ANNA YATES ELEMENTARY,PUBLIC,ALAMEDA,EMERYVILLE,Y,No,62,3,5,No Data,55,53,60,89,92
EMERYVILLE PRESCHOOL STUDENTS,PUBLIC,ALAMEDA,EMERYVILLE,N,Not Known, ,,,No Data,,,,,
ARDENWOOD ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,160,1,1,Up from None,97,97,96,99,99
BRIER ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,137,2,1,-1,97,98,98,98,99
BROOKVALE ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,206,5,2,Up from None,97,97,97,98,98
CABRILLO ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,49,1,2,Up from None,96,98,98,98,98
E. M. GRIMMER ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,47,1,2,Up from None,98,98,98,98,98
FOREST PARK ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,120,1,1,0,99,99,99,99,99
FRED E. WEIBEL ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,137,0,0,No Opt-Outs,100,100,99,100,100
GLENMOOR ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,No,105,3,3,2,90,91,88,97,97
HARVEY GREEN ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,81,1,1,Up from None,99,99,99,99,99
J. HALEY DURHAM ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,140,0,0,No Opt-Outs,100,100,100,100,100
JAMES LEITCH ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,269,3,1,1,99,99,98,99,99
JOHN BLACOW ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,78,1,1,Up from None,91,94,91,99,99
JOHN G. MATTOS ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,72,1,1,Up from None,99,99,99,99,99
JOHN GOMES ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,114,1,1,Up from None,99,99,99,99,99
JOSEPH AZEVADA ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,100,5,5,Up from None,95,95,95,94,95
JOSHUA CHADBOURNE ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,96,1,1,Up from None,98,98,98,99,99
MISSION SAN JOSE ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,91,1,1,Up from None,97,97,97,98,98
MISSION VALLEY ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,48,1,2,Up from None,98,98,98,98,98
NILES ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,96,2,2,Up from None,96,96,96,97,97
O. N. HIRSCH ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,48,0,0,No Opt-Outs,100,100,100,100,100
OLIVEIRA ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,105,2,2,Up from None,96,97,97,95,97
PARKMONT ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,168,2,1,Up from None,98,99,99,99,99
PATTERSON ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,82,2,2,Up from None,98,98,95,98,98
STEVEN MILLARD ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,79,0,0,No Opt-Outs,99,99,99,100,100
TOM MALONEY ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,114,4,4,Up from None,93,95,94,96,96
VALLEJO MILL ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,96,1,1,Up from None,98,99,99,99,99
WARWICK ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,118,0,0,No Opt-Outs,99,99,99,100,100
SPECIAL EDUCATION-PRESCHOOL-LAUREL,PUBLIC,ALAMEDA,CASTRO VALLEY,N,Not Known, ,,,No Data,,,,,
STROBRIDGE ELEMENTARY,PUBLIC,ALAMEDA,CASTRO VALLEY,Y,Yes,89,0,0,No Opt-Outs,97,97,97,99,98
BOWMAN ELEMENTARY,PUBLIC,ALAMEDA,HAYWARD,Y,No,60,0,0,No Opt-Outs,93,97,100,100,87
BURBANK ELEMENTARY,PUBLIC,ALAMEDA,HAYWARD,Y,Yes,118,0,0,No Opt-Outs,97,98,100,98,100
CHERRYLAND ELEMENTARY,PUBLIC,ALAMEDA,HAYWARD,Y,No,107,0,0,No Opt-Outs,92,91,92,93,93
EAST AVENUE ELEMENTARY,PUBLIC,ALAMEDA,HAYWARD,Y,Yes,85,0,0,No Opt-Outs,95,94,100,93,93
EDEN GARDENS ELEMENTARY,PUBLIC,ALAMEDA,HAYWARD,Y,Yes,67,0,0,No Opt-Outs,93,93,99,93,97
ELDRIDGE ELEMENTARY,PUBLIC,ALAMEDA,HAYWARD,Y,Yes,56,0,0,No Opt-Outs,93,89,98,98,96
FAIRVIEW ELEMENTARY,PUBLIC,ALAMEDA,HAYWARD,Y,Yes,110,0,0,No Opt-Outs,95,95,96,97,99
FAITH RINGGOLD SCHOOL OF ARTS AND SCIENCE,PUBLIC,ALAMEDA,HAYWARD,Y,No,20,0,0,No Opt-Outs,90,90,100,90,90
GLASSBROOK ELEMENTARY,PUBLIC,ALAMEDA,HAYWARD,Y,No,121,0,0,No Data,91,91,98,91,98
HARDER ELEMENTARY,PUBLIC,ALAMEDA,HAYWARD,Y,Yes,82,0,0,No Opt-Outs,96,100,100,99,100
KNOWLEDGE ENLIGHTENS YOU -KEY- ACADEMY,PUBLIC,ALAMEDA,HAYWARD,Y,Yes,25,0,0,No Data,96,96,96,96,96
LONGWOOD ELEMENTARY,PUBLIC,ALAMEDA,HAYWARD,Y,Yes,101,0,0,No Opt-Outs,91,91,93,91,94
LORIN A. EDEN ELEMENTARY,PUBLIC,ALAMEDA,HAYWARD,Y,Yes,48,0,0,No Opt-Outs,98,100,100,100,100
PALMA CEIA ELEMENTARY,PUBLIC,ALAMEDA,HAYWARD,Y,Yes,71,0,0,No Opt-Outs,93,96,100,97,100
PARK ELEMENTARY,PUBLIC,ALAMEDA,HAYWARD,Y,No,88,0,0,No Opt-Outs,97,94,100,92,97
RUUS ELEMENTARY,PUBLIC,ALAMEDA,HAYWARD,Y,Yes,111,0,0,No Opt-Outs,96,96,98,96,100
SCHAFER PARK ELEMENTARY,PUBLIC,ALAMEDA,HAYWARD,Y,Yes,136,2,1,Up from None,98,98,98,98,99
SOUTHGATE ELEMENTARY,PUBLIC,ALAMEDA,HAYWARD,Y,No,108,0,0,No Opt-Outs,91,93,88,100,100
STONEBRAE ELEMENTARY,PUBLIC,ALAMEDA,HAYWARD,Y,No,92,0,0,No Opt-Outs,98,98,96,93,100
TREEVIEW ELEMENTARY,PUBLIC,ALAMEDA,HAYWARD,Y,Yes,87,0,0,No Opt-Outs,100,100,99,100,100
TYRRELL ELEMENTARY,PUBLIC,ALAMEDA,HAYWARD,Y,Yes,105,0,0,No Data,95,96,94,98,100
ALTAMONT CREEK ELEMENTARY,PUBLIC,ALAMEDA,LIVERMORE,Y,Yes,82,4,5,3,95,95,95,94,95
ARROYO SECO ELEMENTARY,PUBLIC,ALAMEDA,LIVERMORE,Y,Yes,108,0,0,No Opt-Outs,99,99,100,99,100
EMMA C. SMITH ELEMENTARY,PUBLIC,ALAMEDA,LIVERMORE,Y,Yes,99,3,3,Up from None,95,95,95,95,95
JACKSON AVENUE ELEMENTARY,PUBLIC,ALAMEDA,LIVERMORE,Y,Yes,121,3,2,-1,95,95,98,97,98
JOE MICHELL,PUBLIC,ALAMEDA,LIVERMORE,Y,No,117,2,2,0,87,90,89,96,96
JUNCTION K-8,PUBLIC,ALAMEDA,LIVERMORE,Y,Yes,69,1,1,Up from None,97,97,97,99,99
LEO R. CROCE ELEMENTARY,PUBLIC,ALAMEDA,LIVERMORE,Y,Yes,115,3,3,Up from None,97,97,97,97,97
LIVERMORE VALLEY CHARTER,PUBLIC,ALAMEDA,LIVERMORE,Y,Yes,120,6,5,No Data,95,95,95,95,95
MARYLIN AVENUE ELEMENTARY,PUBLIC,ALAMEDA,LIVERMORE,Y,Yes,88,1,1,Up from None,99,99,99,99,99
